building_1,location_1,location_2,building_2,assignment
1063,2049,3049,4025,1.0
1063,2049,3049,4026,1.0
1063,2049,3049,4027,1.0
1063,2049,3049,4028,1.0
1063,2049,3049,4029,1.0
1063,2049,3049,4030,1.0
1063,2049,3049,4031,1.0
1063,2049,3049,4032,1.0
1063,2049,3049,4033,1.0
1063,2049,3049,4034,1.0
1063,2049,3049,4035,1.0
1063,2049,3049,4036,1.0
1063,2049,3049,4037,1.0
1063,2049,3049,4038,1.0
1063,2049,3049,4039,1.0
1063,2049,3049,4040,1.0
1063,2049,3049,4041,1.0
1063,2049,3049,4042,1.0
1063,2049,3049,4043,1.0
1063,2049,3049,4044,1.0
1063,2049,3049,4045,1.0
1063,2049,3049,4046,1.0
1063,2049,3049,4047,1.0
1063,2049,3049,4048,1.0
1063,2049,3049,4049,1.0
1063,2049,3049,4050,1.0
1063,2049,3049,4051,1.0
1063,2049,3049,4052,1.0
1063,2049,3049,4053,1.0
1063,2049,3049,4054,1.0
1063,2049,3049,4055,1.0
1063,2049,3049,4056,1.0
1063,2049,3049,4057,1.0
1063,2049,3049,4058,1.0
1063,2049,3049,4059,1.0
1063,2049,3049,4060,1.0
1063,2049,3049,4061,1.0
1063,2049,3049,4062,1.0
1063,2049,3049,4063,1.0
1063,2049,3049,4064,1.0
1063,2049,3049,4065,1.0
1063,2049,3049,4066,1.0
1063,2049,3049,4067,1.0
1063,2049,3049,4068,1.0
1063,2049,3049,4069,1.0
1063,2049,3049,4070,1.0
1064,2049,3049,4001,1.0
1064,2049,3049,4002,1.0
1064,2049,3049,4003,1.0
1064,2049,3049,4004,1.0
1064,2049,3049,4005,1.0
1064,2049,3049,4006,1.0
1064,2049,3049,4007,1.0
1064,2049,3049,4008,1.0
1064,2049,3049,4009,1.0
1064,2049,3049,4010,1.0
1064,2049,3049,4011,1.0
1064,2049,3049,4012,1.0
1064,2049,3049,4013,1.0
1064,2049,3049,4014,1.0
1064,2049,3049,4015,1.0
1064,2049,3049,4016,1.0
1064,2049,3049,4017,1.0
1064,2049,3049,4018,1.0
1064,2049,3049,4019,1.0
1064,2049,3049,4020,1.0
1064,2049,3049,4021,1.0
1064,2049,3049,4022,1.0
1064,2049,3049,4023,1.0
1064,2049,3049,4024,1.0
1064,2049,3049,4025,1.0
1064,2049,3049,4026,1.0
1064,2049,3049,4027,1.0
1064,2049,3049,4028,1.0
1064,2049,3049,4029,1.0
1064,2049,3049,4030,1.0
1064,2049,3049,4031,1.0
1064,2049,3049,4032,1.0
1064,2049,3049,4033,1.0
1064,2049,3049,4034,1.0
1064,2049,3049,4035,1.0
1064,2049,3049,4036,1.0
1064,2049,3049,4037,1.0
1064,2049,3049,4038,1.0
1064,2049,3049,4039,1.0
1064,2049,3049,4040,1.0
1064,2049,3049,4041,1.0
1064,2049,3049,4042,1.0
1064,2049,3049,4043,1.0
1064,2049,3049,4044,1.0
1064,2049,3049,4045,1.0
1064,2049,3049,4046,1.0
1064,2049,3049,4047,1.0
1064,2049,3049,4048,1.0
1064,2049,3049,4049,1.0
1064,2049,3049,4050,1.0
1064,2049,3049,4051,1.0
1064,2049,3049,4052,1.0
1064,2049,3049,4053,1.0
1064,2049,3049,4054,1.0
1064,2049,3049,4055,1.0
1064,2049,3049,4056,1.0
1064,2049,3049,4057,1.0
1064,2049,3049,4058,1.0
1064,2049,3049,4059,1.0
1064,2049,3049,4060,1.0
1064,2049,3049,4061,1.0
1064,2049,3049,4062,1.0
1064,2049,3049,4063,1.0
1064,2049,3049,4064,1.0
1064,2049,3049,4065,1.0
1064,2049,3049,4066,1.0
1064,2049,3049,4067,1.0
1064,2049,3049,4068,1.0
1064,2049,3049,4069,1.0
1064,2049,3049,4070,1.0
1065,2049,3049,4001,1.0
1065,2049,3049,4002,1.0
1065,2049,3049,4003,1.0
1065,2049,3049,4004,1.0
1065,2049,3049,4005,1.0
1065,2049,3049,4006,1.0
1065,2049,3049,4007,1.0
1065,2049,3049,4008,1.0
1065,2049,3049,4009,1.0
1065,2049,3049,4010,1.0
1065,2049,3049,4011,1.0
1065,2049,3049,4012,1.0
1065,2049,3049,4013,1.0
1065,2049,3049,4014,1.0
1065,2049,3049,4015,1.0
1065,2049,3049,4016,1.0
1065,2049,3049,4017,1.0
1065,2049,3049,4018,1.0
1065,2049,3049,4019,1.0
1065,2049,3049,4020,1.0
1065,2049,3049,4021,1.0
1065,2049,3049,4022,1.0
1065,2049,3049,4023,1.0
1065,2049,3049,4024,1.0
1065,2049,3049,4025,1.0
1065,2049,3049,4026,1.0
1065,2049,3049,4027,1.0
1065,2049,3049,4028,1.0
1065,2049,3049,4029,1.0
1065,2049,3049,4030,1.0
1065,2049,3049,4031,1.0
1065,2049,3049,4032,1.0
1065,2049,3049,4033,1.0
1065,2049,3049,4034,1.0
1065,2049,3049,4035,1.0
1065,2049,3049,4036,1.0
1065,2049,3049,4037,1.0
1065,2049,3049,4038,1.0
1065,2049,3049,4039,1.0
1065,2049,3049,4040,1.0
1065,2049,3049,4041,1.0
1065,2049,3049,4042,1.0
1065,2049,3049,4043,1.0
1065,2049,3049,4044,1.0
1065,2049,3049,4045,1.0
1065,2049,3049,4046,1.0
1065,2049,3049,4047,1.0
1065,2049,3049,4048,1.0
1065,2049,3049,4049,1.0
1065,2049,3049,4050,1.0
1065,2049,3049,4051,1.0
1065,2049,3049,4052,1.0
1065,2049,3049,4053,1.0
1065,2049,3049,4054,1.0
1065,2049,3049,4055,1.0
1065,2049,3049,4056,1.0
1065,2049,3049,4057,1.0
1065,2049,3049,4058,1.0
1065,2049,3049,4059,1.0
1065,2049,3049,4060,1.0
1065,2049,3049,4061,1.0
1065,2049,3049,4062,1.0
1065,2049,3049,4063,1.0
1065,2049,3049,4064,1.0
1065,2049,3049,4065,1.0
1065,2049,3049,4066,1.0
1065,2049,3049,4067,1.0
1065,2049,3049,4068,1.0
1065,2049,3049,4069,1.0
1065,2049,3049,4070,1.0
1066,2049,3049,4001,1.0
1066,2049,3049,4002,1.0
1066,2049,3049,4003,1.0
1066,2049,3049,4004,1.0
1066,2049,3049,4005,1.0
1066,2049,3049,4006,1.0
1066,2049,3049,4007,1.0
1066,2049,3049,4008,1.0
1066,2049,3049,4009,1.0
1066,2049,3049,4010,1.0
1066,2049,3049,4011,1.0
1066,2049,3049,4012,1.0
1066,2049,3049,4013,1.0
1066,2049,3049,4014,1.0
1066,2049,3049,4015,1.0
1066,2049,3049,4016,1.0
1066,2049,3049,4017,1.0
1066,2049,3049,4018,1.0
1066,2049,3049,4019,1.0
1066,2049,3049,4020,1.0
1066,2049,3049,4021,1.0
1066,2049,3049,4022,1.0
1066,2049,3049,4023,1.0
1066,2049,3049,4024,1.0
1066,2049,3049,4025,1.0
1066,2049,3049,4026,1.0
1066,2049,3049,4027,1.0
1066,2049,3049,4028,1.0
1066,2049,3049,4029,1.0
1066,2049,3049,4030,1.0
1066,2049,3049,4031,1.0
1066,2049,3049,4032,1.0
1066,2049,3049,4033,1.0
1066,2049,3049,4034,1.0
1066,2049,3049,4035,1.0
1066,2049,3049,4036,1.0
1066,2049,3049,4037,1.0
1066,2049,3049,4038,1.0
1066,2049,3049,4039,1.0
1066,2049,3049,4040,1.0
1066,2049,3049,4041,1.0
1066,2049,3049,4042,1.0
1066,2049,3049,4043,1.0
1066,2049,3049,4044,1.0
1066,2049,3049,4045,1.0
1066,2049,3049,4046,1.0
1066,2049,3049,4047,1.0
1066,2049,3049,4048,1.0
1066,2049,3049,4049,1.0
1066,2049,3049,4050,1.0
1066,2049,3049,4051,1.0
1066,2049,3049,4052,1.0
1066,2049,3049,4053,1.0
1066,2049,3049,4054,1.0
1066,2049,3049,4055,1.0
1066,2049,3049,4056,1.0
1066,2049,3049,4057,1.0
1066,2049,3049,4058,1.0
1066,2049,3049,4059,1.0
1066,2049,3049,4060,1.0
1066,2049,3049,4061,1.0
1066,2049,3049,4062,1.0
1066,2049,3049,4063,1.0
1066,2049,3049,4064,1.0
1066,2049,3049,4065,1.0
1066,2049,3049,4066,1.0
1066,2049,3049,4067,1.0
1066,2049,3049,4068,1.0
1066,2049,3049,4069,1.0
1066,2049,3049,4070,1.0
1067,2049,3049,4001,1.0
1067,2049,3049,4002,1.0
1067,2049,3049,4003,1.0
1067,2049,3049,4004,1.0
1067,2049,3049,4005,1.0
1067,2049,3049,4006,1.0
1067,2049,3049,4007,1.0
1067,2049,3049,4008,1.0
1067,2049,3049,4009,1.0
1067,2049,3049,4010,1.0
1067,2049,3049,4011,1.0
1067,2049,3049,4012,1.0
1067,2049,3049,4013,1.0
1067,2049,3049,4014,1.0
1067,2049,3049,4015,1.0
1067,2049,3049,4016,1.0
1067,2049,3049,4017,1.0
1067,2049,3049,4018,1.0
1067,2049,3049,4019,1.0
1067,2049,3049,4020,1.0
1067,2049,3049,4021,1.0
1067,2049,3049,4022,1.0
1067,2049,3049,4023,1.0
1067,2049,3049,4024,1.0
1067,2049,3049,4025,1.0
1067,2049,3049,4026,1.0
1067,2049,3049,4027,1.0
1067,2049,3049,4028,1.0
1067,2049,3049,4029,1.0
1067,2049,3049,4030,1.0
1067,2049,3049,4031,1.0
1067,2049,3049,4032,1.0
1067,2049,3049,4033,1.0
1067,2049,3049,4034,1.0
1067,2049,3049,4035,1.0
1067,2049,3049,4036,1.0
1067,2049,3049,4037,1.0
1067,2049,3049,4038,1.0
1067,2049,3049,4039,1.0
1067,2049,3049,4040,1.0
1067,2049,3049,4041,1.0
1067,2049,3049,4042,1.0
1067,2049,3049,4043,1.0
1067,2049,3049,4044,1.0
1067,2049,3049,4045,1.0
1067,2049,3049,4046,1.0
1067,2049,3049,4047,1.0
1067,2049,3049,4048,1.0
1067,2049,3049,4049,1.0
1067,2049,3049,4050,1.0
1067,2049,3049,4051,1.0
1067,2049,3049,4052,1.0
1067,2049,3049,4053,1.0
1067,2049,3049,4054,1.0
1067,2049,3049,4055,1.0
1067,2049,3049,4056,1.0
1067,2049,3049,4057,1.0
1067,2049,3049,4058,1.0
1067,2049,3049,4059,1.0
1067,2049,3049,4060,1.0
1067,2049,3049,4061,1.0
1067,2049,3049,4062,1.0
1067,2049,3049,4063,1.0
1067,2049,3049,4064,1.0
1067,2049,3049,4065,1.0
1067,2049,3049,4066,1.0
1067,2049,3049,4067,1.0
1067,2049,3049,4068,1.0
1067,2049,3049,4069,1.0
1067,2049,3049,4070,1.0
1068,2049,3049,4001,1.0
1068,2049,3049,4002,1.0
1068,2049,3049,4003,1.0
1068,2049,3049,4004,1.0
1068,2049,3049,4005,1.0
1068,2049,3049,4006,1.0
1068,2049,3049,4007,1.0
1068,2049,3049,4008,1.0
1068,2049,3049,4009,1.0
1068,2049,3049,4010,1.0
1068,2049,3049,4011,1.0
1068,2049,3049,4012,1.0
1068,2049,3049,4013,1.0
1068,2049,3049,4014,1.0
1068,2049,3049,4015,1.0
1068,2049,3049,4016,1.0
1068,2049,3049,4017,1.0
1068,2049,3049,4018,1.0
1068,2049,3049,4019,1.0
1068,2049,3049,4020,1.0
1068,2049,3049,4021,1.0
1068,2049,3049,4022,1.0
1068,2049,3049,4023,1.0
1068,2049,3049,4024,1.0
1068,2049,3049,4025,1.0
1068,2049,3049,4026,1.0
1068,2049,3049,4027,1.0
1068,2049,3049,4028,1.0
1068,2049,3049,4029,1.0
1068,2049,3049,4030,1.0
1068,2049,3049,4031,1.0
1068,2049,3049,4032,1.0
1068,2049,3049,4033,1.0
1068,2049,3049,4034,1.0
1068,2049,3049,4035,1.0
1068,2049,3049,4036,1.0
1068,2049,3049,4037,1.0
1068,2049,3049,4038,1.0
1068,2049,3049,4039,1.0
1068,2049,3049,4040,1.0
1068,2049,3049,4041,1.0
1068,2049,3049,4042,1.0
1068,2049,3049,4043,1.0
1068,2049,3049,4044,1.0
1068,2049,3049,4045,1.0
1068,2049,3049,4046,1.0
1068,2049,3049,4047,1.0
1068,2049,3049,4048,1.0
1068,2049,3049,4049,1.0
1068,2049,3049,4050,1.0
1068,2049,3049,4051,1.0
1068,2049,3049,4052,1.0
1068,2049,3049,4053,1.0
1068,2049,3049,4054,1.0
1068,2049,3049,4055,1.0
1068,2049,3049,4056,1.0
1068,2049,3049,4057,1.0
1068,2049,3049,4058,1.0
1068,2049,3049,4059,1.0
1068,2049,3049,4060,1.0
1068,2049,3049,4061,1.0
1068,2049,3049,4062,1.0
1068,2049,3049,4063,1.0
1068,2049,3049,4064,1.0
1068,2049,3049,4065,1.0
1068,2049,3049,4066,1.0
1068,2049,3049,4067,1.0
1068,2049,3049,4068,1.0
1068,2049,3049,4069,1.0
1068,2049,3049,4070,1.0
1069,2049,3049,4001,1.0
1069,2049,3049,4002,1.0
1069,2049,3049,4003,1.0
1069,2049,3049,4004,1.0
1069,2049,3049,4005,1.0
1069,2049,3049,4006,1.0
1069,2049,3049,4007,1.0
1069,2049,3049,4008,1.0
1069,2049,3049,4009,1.0
1069,2049,3049,4010,1.0
1069,2049,3049,4011,1.0
1069,2049,3049,4012,1.0
1069,2049,3049,4013,1.0
1069,2049,3049,4014,1.0
1069,2049,3049,4015,1.0
1069,2049,3049,4016,1.0
1069,2049,3049,4017,1.0
1069,2049,3049,4018,1.0
1069,2049,3049,4019,1.0
1069,2049,3049,4020,1.0
1069,2049,3049,4021,1.0
1069,2049,3049,4022,1.0
1069,2049,3049,4023,1.0
1069,2049,3049,4024,1.0
1069,2049,3049,4025,1.0
1069,2049,3049,4026,1.0
1069,2049,3049,4027,1.0
1069,2049,3049,4028,1.0
1069,2049,3049,4029,1.0
1069,2049,3049,4030,1.0
1069,2049,3049,4031,1.0
1069,2049,3049,4032,1.0
1069,2049,3049,4033,1.0
1069,2049,3049,4034,1.0
1069,2049,3049,4035,1.0
1069,2049,3049,4036,1.0
1069,2049,3049,4037,1.0
1069,2049,3049,4038,1.0
1069,2049,3049,4039,1.0
1069,2049,3049,4040,1.0
1069,2049,3049,4041,1.0
1069,2049,3049,4042,1.0
1069,2049,3049,4043,1.0
1069,2049,3049,4044,1.0
1069,2049,3049,4045,1.0
1069,2049,3049,4046,1.0
1069,2049,3049,4047,1.0
1069,2049,3049,4048,1.0
1069,2049,3049,4049,1.0
1069,2049,3049,4050,1.0
1069,2049,3049,4051,1.0
1069,2049,3049,4052,1.0
1069,2049,3049,4053,1.0
1069,2049,3049,4054,1.0
1069,2049,3049,4055,1.0
1069,2049,3049,4056,1.0
1069,2049,3049,4057,1.0
1069,2049,3049,4058,1.0
1069,2049,3049,4059,1.0
1069,2049,3049,4060,1.0
1069,2049,3049,4061,1.0
1069,2049,3049,4062,1.0
1069,2049,3049,4063,1.0
1069,2049,3049,4064,1.0
1069,2049,3049,4065,1.0
1069,2049,3049,4066,1.0
1069,2049,3049,4067,1.0
1069,2049,3049,4068,1.0
1069,2049,3049,4069,1.0
1069,2049,3049,4070,1.0
1070,2049,3049,4001,1.0
1070,2049,3049,4002,1.0
1070,2049,3049,4003,1.0
1070,2049,3049,4004,1.0
1070,2049,3049,4005,1.0
1070,2049,3049,4006,1.0
1070,2049,3049,4007,1.0
1070,2049,3049,4008,1.0
1070,2049,3049,4009,1.0
1070,2049,3049,4010,1.0
1070,2049,3049,4011,1.0
1070,2049,3049,4012,1.0
1070,2049,3049,4013,1.0
1070,2049,3049,4014,1.0
1070,2049,3049,4015,1.0
1070,2049,3049,4016,1.0
1070,2049,3049,4017,1.0
1070,2049,3049,4018,1.0
1070,2049,3049,4019,1.0
1070,2049,3049,4020,1.0
1070,2049,3049,4021,1.0
1070,2049,3049,4022,1.0
1070,2049,3049,4023,1.0
1070,2049,3049,4024,1.0
1070,2049,3049,4025,1.0
1070,2049,3049,4026,1.0
1070,2049,3049,4027,1.0
1070,2049,3049,4028,1.0
1070,2049,3049,4029,1.0
1070,2049,3049,4030,1.0
1070,2049,3049,4031,1.0
1070,2049,3049,4032,1.0
1070,2049,3049,4033,1.0
1070,2049,3049,4034,1.0
1070,2049,3049,4035,1.0
1070,2049,3049,4036,1.0
1070,2049,3049,4037,1.0
1070,2049,3049,4038,1.0
1070,2049,3049,4039,1.0
1070,2049,3049,4040,1.0
1070,2049,3049,4041,1.0
1070,2049,3049,4042,1.0
1070,2049,3049,4043,1.0
1070,2049,3049,4044,1.0
1070,2049,3049,4045,1.0
1070,2049,3049,4046,1.0
1070,2049,3049,4047,1.0
1070,2049,3049,4048,1.0
1070,2049,3049,4049,1.0
1070,2049,3049,4050,1.0
1070,2049,3049,4051,1.0
1070,2049,3049,4052,1.0
1070,2049,3049,4053,1.0
1070,2049,3049,4054,1.0
1070,2049,3049,4055,1.0
1070,2049,3049,4056,1.0
1070,2049,3049,4057,1.0
1070,2049,3049,4058,1.0
1070,2049,3049,4059,1.0
1070,2049,3049,4060,1.0
1070,2049,3049,4061,1.0
1070,2049,3049,4062,1.0
1070,2049,3049,4063,1.0
1070,2049,3049,4064,1.0
1070,2049,3049,4065,1.0
1070,2049,3049,4066,1.0
1070,2049,3049,4067,1.0
1070,2049,3049,4068,1.0
1070,2049,3049,4069,1.0
1070,2049,3049,4070,1.0
